# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = sho_loop_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = sho_group.data.R
# init = 2 (Default)
# random
#   seed = 2534141114
# output
#   file = pmx_sample.1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma.1.1,sigma.2.1,sigma.1.2,sigma.2.2,theta.1.1,theta.2.1,y.1.1.1,y.2.1.1,y.1.2.1,y.2.2.1,y.1.3.1,y.2.3.1,y.1.4.1,y.2.4.1,y.1.5.1,y.2.5.1,y.1.6.1,y.2.6.1,y.1.7.1,y.2.7.1,y.1.1.2,y.2.1.2,y.1.2.2,y.2.2.2,y.1.3.2,y.2.3.2,y.1.4.2,y.2.4.2,y.1.5.2,y.2.5.2,y.1.6.2,y.2.6.2,y.1.7.2,y.2.7.2
# Adaptation terminated
# Step size = 0.661512
# Diagonal elements of inverse mass matrix:
# 0.0575947, 0.0646488, 0.0638189, 0.0835454, 0.0354917, 0.0240679
-12.4638,0.988499,0.661512,3,7,0,16.3,1.14662,0.861291,0.95288,0.583614,2.81919,3.82235,0.0869954,0.0829692,0.286448,0.222537,0.214845,0.174227,0.144053,0.131537,0.0952275,0.0991711,0.0628302,0.0747651,0.00784438,0.0182081,0.750186,0.678447,-0.0287603,-0.0338485,-0.0812254,-0.0483768,-0.0592059,-0.0371345,-0.0395608,-0.0280149,-0.02614,-0.0211209,-0.00326434,-0.00514373
-13.9101,0.741833,0.661512,3,7,0,16.1741,1.17539,1.30915,0.842816,0.802652,3.06637,2.06812,0.0859789,0.0901865,0.267825,0.35968,0.202893,0.264688,0.141225,0.149311,0.097533,0.0764146,0.067307,0.0373569,0.01053,0.000848508,0.731835,0.808815,-0.0318472,-0.00398254,-0.0707162,-0.129354,-0.0520878,-0.0946878,-0.0361647,-0.053327,-0.0249701,-0.0272724,-0.00390673,-0.00065175
-16.1186,0.777664,0.661512,3,7,0,18.9743,0.975162,1.12821,1.94802,0.828584,2.49071,2.66409,0.0883718,0.0876416,0.315005,0.299343,0.233629,0.223246,0.147176,0.14564,0.0897986,0.0930646,0.0544068,0.0592606,0.00439941,0.00618246,0.775286,0.761934,-0.0214605,-0.0258463,-0.0987678,-0.0889382,-0.0714746,-0.0645283,-0.0448272,-0.0419286,-0.027325,-0.0267745,-0.00221344,-0.00279494
-13.0886,0.987824,0.661512,3,7,0,18.6411,1.12021,0.782994,0.802747,0.493319,2.78363,2.74739,0.087143,0.0872937,0.289317,0.292294,0.216704,0.218639,0.144432,0.144809,0.0947868,0.0943051,0.0620693,0.0612596,0.00746007,0.00706999,0.752863,0.755602,-0.0281668,-0.0275177,-0.082911,-0.0846785,-0.0603608,-0.0615766,-0.0400864,-0.0406324,-0.0262943,-0.0264467,-0.0031612,-0.00305331
-18.6071,0.506562,0.661512,3,7,0,22.0316,1.4832,1.77021,1.24159,1.64762,3.02726,2.61185,0.0861386,0.0878608,0.270626,0.303918,0.204679,0.226256,0.141691,0.146133,0.0972474,0.0921839,0.0666853,0.0579017,0.0101059,0.00563425,0.734708,0.765933,-0.031468,-0.0246607,-0.0722481,-0.091758,-0.053118,-0.0665006,-0.0366738,-0.0427725,-0.0251636,-0.0269615,-0.00381372,-0.00262568
-13.5993,0.96371,0.661512,2,3,0,21.232,1.43974,1.4947,1.10188,0.646656,3.24262,3.76693,0.085264,0.0831849,0.255829,0.225364,0.195272,0.176018,0.139057,0.132265,0.0985135,0.0992341,0.0697628,0.0744472,0.0124221,0.0176921,0.719024,0.682225,-0.0331319,-0.0339467,-0.0643508,-0.0496365,-0.0478243,-0.037983,-0.0339903,-0.0285184,-0.0240765,-0.0213957,-0.00428718,-0.00508461
-11.2779,0.926572,0.661512,2,3,0,14.9538,1.16574,1.08209,0.761362,0.575459,3.08919,3.09415,0.0858859,0.0858657,0.266215,0.265868,0.201867,0.201646,0.14095,0.14089,0.0976875,0.0977199,0.0676563,0.0677309,0.0107771,0.0108306,0.730163,0.729801,-0.0320517,-0.0320946,-0.0698431,-0.0696555,-0.0515014,-0.0513755,-0.0358722,-0.0358092,-0.0248561,-0.0248313,-0.00395956,-0.00397088
-12.4534,0.933122,0.661512,3,7,0,12.7563,1.25617,1.49099,0.720334,0.652265,2.83587,3.32865,0.0869263,0.084918,0.28512,0.250323,0.213986,0.191787,0.143872,0.137968,0.0954238,0.098832,0.0631762,0.0707763,0.00802509,0.0133288,0.748933,0.712853,-0.0290245,-0.0335376,-0.0804509,-0.0615366,-0.0586766,-0.0459449,-0.0393177,-0.0329957,-0.026066,-0.0236333,-0.00331179,-0.00445075
-15.0746,0.78746,0.661512,2,7,0,16.348,1.2688,1.52432,0.566804,1.01344,3.13796,3.23011,0.0856875,0.0853145,0.262832,0.256648,0.199715,0.195791,0.140356,0.139214,0.0979889,0.098459,0.0683704,0.0696059,0.0113032,0.0122892,0.726604,0.719926,-0.0324489,-0.0330617,-0.0680277,-0.0647753,-0.0502841,-0.048108,-0.0352584,-0.0341385,-0.0246105,-0.0241407,-0.00406883,-0.00426221
-13.0153,0.965721,0.661512,2,3,0,16.8271,1.13318,0.846024,1.06348,0.876491,2.39356,3.20555,0.0887846,0.0854137,0.324411,0.25827,0.239975,0.196819,0.147896,0.139521,0.0874916,0.0983458,0.0512163,0.0692906,0.00345892,0.0120276,0.782869,0.7217,-0.0183858,-0.0329151,-0.104905,-0.06562,-0.075922,-0.0486727,-0.0465832,-0.0344319,-0.0275268,-0.0242665,-0.00186538,-0.00421232
-13.9268,0.942897,0.661512,3,7,0,15.8093,1.07649,1.24416,1.01634,1.33858,3.31732,3.23268,0.0849634,0.0853041,0.251035,0.256479,0.192238,0.195684,0.138112,0.139182,0.0987954,0.0984704,0.0706492,0.0696384,0.0132102,0.0123165,0.713662,0.719741,-0.0334916,-0.0330764,-0.061897,-0.0646876,-0.0461855,-0.0480494,-0.0331243,-0.0341079,-0.0236917,-0.0241275,-0.00443001,-0.00426738
-14.7759,0.935716,0.661512,3,7,0,16.2637,1.1096,0.921737,0.813877,0.374599,3.00283,2.75145,0.0862386,0.0872768,0.272402,0.291957,0.205814,0.21842,0.141979,0.144767,0.0970551,0.0943608,0.0662815,0.0613521,0.00984052,0.00711363,0.736509,0.755294,-0.0312119,-0.0275927,-0.0732285,-0.0844778,-0.0537785,-0.0614383,-0.0369969,-0.0405707,-0.0252832,-0.0264299,-0.00375399,-0.00306554
